[burgers] q=8 N=256 nu=3.0e-02 cfl=0.1 dt=3.9063e-04 n_steps=400 method=cole_hopf_circuit
[burgers] reference trajectory skipped (--no-classical-reference)
[burgers] running method=cole_hopf_circuit ...
[cole_hopf_circuit] propagator=qft-diagonal q=8 encoding=binary nu=3.0e-02 dt=3.9063e-04 n_steps=400 shots=150000
[_run_shots_measure_reprepare] n_segments=80 segment_size=5 shots=150000
[_run_shots_measure_reprepare] segment 1/80 steps 1-5 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 1/80 done in 5.0s p_success=0.9990 cumulative_norm=9.5210e+00
[_run_shots_measure_reprepare] segment 2/80 steps 6-10 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 2/80 done in 2.1s p_success=0.9986 cumulative_norm=9.5143e+00
[_run_shots_measure_reprepare] segment 3/80 steps 11-15 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 3/80 done in 2.2s p_success=0.9986 cumulative_norm=9.5075e+00
[_run_shots_measure_reprepare] segment 4/80 steps 16-20 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 4/80 done in 2.2s p_success=0.9986 cumulative_norm=9.5007e+00
[_run_shots_measure_reprepare] segment 5/80 steps 21-25 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 5/80 done in 2.2s p_success=0.9986 cumulative_norm=9.4938e+00
[_run_shots_measure_reprepare] segment 6/80 steps 26-30 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 6/80 done in 2.3s p_success=0.9985 cumulative_norm=9.4869e+00
[_run_shots_measure_reprepare] segment 7/80 steps 31-35 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 7/80 done in 2.3s p_success=0.9986 cumulative_norm=9.4801e+00
[_run_shots_measure_reprepare] segment 8/80 steps 36-40 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 8/80 done in 2.2s p_success=0.9986 cumulative_norm=9.4732e+00
[_run_shots_measure_reprepare] segment 9/80 steps 41-45 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 9/80 done in 2.3s p_success=0.9985 cumulative_norm=9.4661e+00
[_run_shots_measure_reprepare] segment 10/80 steps 46-50 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 10/80 done in 2.3s p_success=0.9985 cumulative_norm=9.4592e+00
[_run_shots_measure_reprepare] segment 11/80 steps 51-55 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 11/80 done in 2.3s p_success=0.9985 cumulative_norm=9.4521e+00
[_run_shots_measure_reprepare] segment 12/80 steps 56-60 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 12/80 done in 2.2s p_success=0.9985 cumulative_norm=9.4450e+00
[_run_shots_measure_reprepare] segment 13/80 steps 61-65 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 13/80 done in 2.3s p_success=0.9985 cumulative_norm=9.4379e+00
[_run_shots_measure_reprepare] segment 14/80 steps 66-70 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 14/80 done in 2.2s p_success=0.9985 cumulative_norm=9.4308e+00
[_run_shots_measure_reprepare] segment 15/80 steps 71-75 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 15/80 done in 2.2s p_success=0.9985 cumulative_norm=9.4237e+00
[_run_shots_measure_reprepare] segment 16/80 steps 76-80 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 16/80 done in 2.3s p_success=0.9985 cumulative_norm=9.4164e+00
[_run_shots_measure_reprepare] segment 17/80 steps 81-85 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 17/80 done in 2.3s p_success=0.9985 cumulative_norm=9.4092e+00
[_run_shots_measure_reprepare] segment 18/80 steps 86-90 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 18/80 done in 2.2s p_success=0.9985 cumulative_norm=9.4019e+00
[_run_shots_measure_reprepare] segment 19/80 steps 91-95 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 19/80 done in 2.2s p_success=0.9985 cumulative_norm=9.3949e+00
[_run_shots_measure_reprepare] segment 20/80 steps 96-100 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 20/80 done in 2.2s p_success=0.9985 cumulative_norm=9.3878e+00
[_run_shots_measure_reprepare] segment 21/80 steps 101-105 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 21/80 done in 2.2s p_success=0.9985 cumulative_norm=9.3805e+00
[_run_shots_measure_reprepare] segment 22/80 steps 106-110 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 22/80 done in 2.2s p_success=0.9985 cumulative_norm=9.3733e+00
[_run_shots_measure_reprepare] segment 23/80 steps 111-115 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 23/80 done in 2.2s p_success=0.9985 cumulative_norm=9.3661e+00
[_run_shots_measure_reprepare] segment 24/80 steps 116-120 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 24/80 done in 2.2s p_success=0.9984 cumulative_norm=9.3588e+00
[_run_shots_measure_reprepare] segment 25/80 steps 121-125 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 25/80 done in 2.3s p_success=0.9984 cumulative_norm=9.3514e+00
[_run_shots_measure_reprepare] segment 26/80 steps 126-130 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 26/80 done in 2.2s p_success=0.9984 cumulative_norm=9.3438e+00
[_run_shots_measure_reprepare] segment 27/80 steps 131-135 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 27/80 done in 2.2s p_success=0.9984 cumulative_norm=9.3362e+00
[_run_shots_measure_reprepare] segment 28/80 steps 136-140 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 28/80 done in 2.2s p_success=0.9984 cumulative_norm=9.3287e+00
[_run_shots_measure_reprepare] segment 29/80 steps 141-145 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 29/80 done in 2.2s p_success=0.9984 cumulative_norm=9.3212e+00
[_run_shots_measure_reprepare] segment 30/80 steps 146-150 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 30/80 done in 2.2s p_success=0.9984 cumulative_norm=9.3135e+00
[_run_shots_measure_reprepare] segment 31/80 steps 151-155 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 31/80 done in 2.2s p_success=0.9984 cumulative_norm=9.3059e+00
[_run_shots_measure_reprepare] segment 32/80 steps 156-160 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 32/80 done in 2.2s p_success=0.9984 cumulative_norm=9.2983e+00
[_run_shots_measure_reprepare] segment 33/80 steps 161-165 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 33/80 done in 2.2s p_success=0.9984 cumulative_norm=9.2906e+00
[_run_shots_measure_reprepare] segment 34/80 steps 166-170 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 34/80 done in 2.3s p_success=0.9983 cumulative_norm=9.2829e+00
[_run_shots_measure_reprepare] segment 35/80 steps 171-175 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 35/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2752e+00
[_run_shots_measure_reprepare] segment 36/80 steps 176-180 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 36/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2675e+00
[_run_shots_measure_reprepare] segment 37/80 steps 181-185 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 37/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2598e+00
[_run_shots_measure_reprepare] segment 38/80 steps 186-190 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 38/80 done in 2.2s p_success=0.9984 cumulative_norm=9.2521e+00
[_run_shots_measure_reprepare] segment 39/80 steps 191-195 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 39/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2443e+00
[_run_shots_measure_reprepare] segment 40/80 steps 196-200 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 40/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2365e+00
[_run_shots_measure_reprepare] segment 41/80 steps 201-205 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 41/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2285e+00
[_run_shots_measure_reprepare] segment 42/80 steps 206-210 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 42/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2207e+00
[_run_shots_measure_reprepare] segment 43/80 steps 211-215 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 43/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2128e+00
[_run_shots_measure_reprepare] segment 44/80 steps 216-220 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 44/80 done in 2.2s p_success=0.9983 cumulative_norm=9.2050e+00
[_run_shots_measure_reprepare] segment 45/80 steps 221-225 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 45/80 done in 2.3s p_success=0.9983 cumulative_norm=9.1970e+00
[_run_shots_measure_reprepare] segment 46/80 steps 226-230 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 46/80 done in 2.3s p_success=0.9983 cumulative_norm=9.1891e+00
[_run_shots_measure_reprepare] segment 47/80 steps 231-235 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 47/80 done in 2.3s p_success=0.9983 cumulative_norm=9.1813e+00
[_run_shots_measure_reprepare] segment 48/80 steps 236-240 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 48/80 done in 2.3s p_success=0.9982 cumulative_norm=9.1730e+00
[_run_shots_measure_reprepare] segment 49/80 steps 241-245 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 49/80 done in 2.3s p_success=0.9983 cumulative_norm=9.1651e+00
[_run_shots_measure_reprepare] segment 50/80 steps 246-250 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 50/80 done in 2.2s p_success=0.9981 cumulative_norm=9.1566e+00
[_run_shots_measure_reprepare] segment 51/80 steps 251-255 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 51/80 done in 2.3s p_success=0.9981 cumulative_norm=9.1481e+00
[_run_shots_measure_reprepare] segment 52/80 steps 256-260 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 52/80 done in 2.3s p_success=0.9982 cumulative_norm=9.1396e+00
[_run_shots_measure_reprepare] segment 53/80 steps 261-265 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 53/80 done in 2.2s p_success=0.9981 cumulative_norm=9.1311e+00
[_run_shots_measure_reprepare] segment 54/80 steps 266-270 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 54/80 done in 2.2s p_success=0.9981 cumulative_norm=9.1225e+00
[_run_shots_measure_reprepare] segment 55/80 steps 271-275 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 55/80 done in 2.2s p_success=0.9981 cumulative_norm=9.1139e+00
[_run_shots_measure_reprepare] segment 56/80 steps 276-280 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 56/80 done in 2.2s p_success=0.9981 cumulative_norm=9.1053e+00
[_run_shots_measure_reprepare] segment 57/80 steps 281-285 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 57/80 done in 2.2s p_success=0.9981 cumulative_norm=9.0966e+00
