[burgers] q=8 N=256 nu=4.0e-02 cfl=0.1 dt=3.9063e-04 n_steps=400 method=cole_hopf_circuit
[burgers] reference trajectory skipped (--no-classical-reference)
[burgers] running method=cole_hopf_circuit ...
[cole_hopf_circuit] propagator=qft-diagonal q=8 encoding=binary nu=4.0e-02 dt=3.9063e-04 n_steps=400 shots=150000
[_run_shots_measure_reprepare] n_segments=80 segment_size=5 shots=150000
[_run_shots_measure_reprepare] segment 1/80 steps 1-5 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 1/80 done in 5.0s p_success=0.9974 cumulative_norm=8.4174e+00
[_run_shots_measure_reprepare] segment 2/80 steps 6-10 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 2/80 done in 2.1s p_success=0.9969 cumulative_norm=8.4043e+00
[_run_shots_measure_reprepare] segment 3/80 steps 11-15 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 3/80 done in 2.2s p_success=0.9969 cumulative_norm=8.3913e+00
[_run_shots_measure_reprepare] segment 4/80 steps 16-20 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 4/80 done in 2.2s p_success=0.9969 cumulative_norm=8.3784e+00
[_run_shots_measure_reprepare] segment 5/80 steps 21-25 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 5/80 done in 2.2s p_success=0.9970 cumulative_norm=8.3656e+00
[_run_shots_measure_reprepare] segment 6/80 steps 26-30 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 6/80 done in 2.3s p_success=0.9969 cumulative_norm=8.3528e+00
[_run_shots_measure_reprepare] segment 7/80 steps 31-35 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 7/80 done in 2.2s p_success=0.9970 cumulative_norm=8.3403e+00
[_run_shots_measure_reprepare] segment 8/80 steps 36-40 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 8/80 done in 2.2s p_success=0.9970 cumulative_norm=8.3278e+00
[_run_shots_measure_reprepare] segment 9/80 steps 41-45 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 9/80 done in 2.2s p_success=0.9970 cumulative_norm=8.3152e+00
[_run_shots_measure_reprepare] segment 10/80 steps 46-50 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 10/80 done in 2.3s p_success=0.9970 cumulative_norm=8.3029e+00
[_run_shots_measure_reprepare] segment 11/80 steps 51-55 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 11/80 done in 2.2s p_success=0.9971 cumulative_norm=8.2909e+00
[_run_shots_measure_reprepare] segment 12/80 steps 56-60 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 12/80 done in 2.2s p_success=0.9971 cumulative_norm=8.2788e+00
[_run_shots_measure_reprepare] segment 13/80 steps 61-65 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 13/80 done in 2.2s p_success=0.9970 cumulative_norm=8.2665e+00
[_run_shots_measure_reprepare] segment 14/80 steps 66-70 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 14/80 done in 2.2s p_success=0.9971 cumulative_norm=8.2546e+00
[_run_shots_measure_reprepare] segment 15/80 steps 71-75 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 15/80 done in 2.2s p_success=0.9971 cumulative_norm=8.2426e+00
[_run_shots_measure_reprepare] segment 16/80 steps 76-80 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 16/80 done in 2.3s p_success=0.9972 cumulative_norm=8.2308e+00
[_run_shots_measure_reprepare] segment 17/80 steps 81-85 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 17/80 done in 2.2s p_success=0.9971 cumulative_norm=8.2190e+00
[_run_shots_measure_reprepare] segment 18/80 steps 86-90 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 18/80 done in 2.2s p_success=0.9971 cumulative_norm=8.2070e+00
[_run_shots_measure_reprepare] segment 19/80 steps 91-95 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 19/80 done in 2.2s p_success=0.9970 cumulative_norm=8.1947e+00
[_run_shots_measure_reprepare] segment 20/80 steps 96-100 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 20/80 done in 2.2s p_success=0.9972 cumulative_norm=8.1831e+00
[_run_shots_measure_reprepare] segment 21/80 steps 101-105 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 21/80 done in 2.3s p_success=0.9971 cumulative_norm=8.1714e+00
[_run_shots_measure_reprepare] segment 22/80 steps 106-110 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 22/80 done in 2.2s p_success=0.9971 cumulative_norm=8.1598e+00
[_run_shots_measure_reprepare] segment 23/80 steps 111-115 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 23/80 done in 2.2s p_success=0.9971 cumulative_norm=8.1479e+00
[_run_shots_measure_reprepare] segment 24/80 steps 116-120 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 24/80 done in 2.2s p_success=0.9971 cumulative_norm=8.1361e+00
[_run_shots_measure_reprepare] segment 25/80 steps 121-125 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 25/80 done in 2.2s p_success=0.9971 cumulative_norm=8.1242e+00
[_run_shots_measure_reprepare] segment 26/80 steps 126-130 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 26/80 done in 2.2s p_success=0.9971 cumulative_norm=8.1123e+00
[_run_shots_measure_reprepare] segment 27/80 steps 131-135 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 27/80 done in 2.2s p_success=0.9970 cumulative_norm=8.1003e+00
[_run_shots_measure_reprepare] segment 28/80 steps 136-140 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 28/80 done in 2.2s p_success=0.9970 cumulative_norm=8.0881e+00
[_run_shots_measure_reprepare] segment 29/80 steps 141-145 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 29/80 done in 2.2s p_success=0.9971 cumulative_norm=8.0764e+00
[_run_shots_measure_reprepare] segment 30/80 steps 146-150 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 30/80 done in 2.2s p_success=0.9971 cumulative_norm=8.0647e+00
[_run_shots_measure_reprepare] segment 31/80 steps 151-155 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 31/80 done in 2.2s p_success=0.9971 cumulative_norm=8.0529e+00
[_run_shots_measure_reprepare] segment 32/80 steps 156-160 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 32/80 done in 2.2s p_success=0.9971 cumulative_norm=8.0412e+00
[_run_shots_measure_reprepare] segment 33/80 steps 161-165 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 33/80 done in 2.4s p_success=0.9970 cumulative_norm=8.0293e+00
[_run_shots_measure_reprepare] segment 34/80 steps 166-170 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 34/80 done in 2.3s p_success=0.9971 cumulative_norm=8.0175e+00
[_run_shots_measure_reprepare] segment 35/80 steps 171-175 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 35/80 done in 2.3s p_success=0.9971 cumulative_norm=8.0058e+00
[_run_shots_measure_reprepare] segment 36/80 steps 176-180 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 36/80 done in 2.2s p_success=0.9971 cumulative_norm=7.9942e+00
[_run_shots_measure_reprepare] segment 37/80 steps 181-185 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 37/80 done in 2.3s p_success=0.9970 cumulative_norm=7.9824e+00
[_run_shots_measure_reprepare] segment 38/80 steps 186-190 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 38/80 done in 2.3s p_success=0.9970 cumulative_norm=7.9704e+00
[_run_shots_measure_reprepare] segment 39/80 steps 191-195 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 39/80 done in 2.2s p_success=0.9970 cumulative_norm=7.9585e+00
[_run_shots_measure_reprepare] segment 40/80 steps 196-200 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 40/80 done in 2.2s p_success=0.9971 cumulative_norm=7.9469e+00
[_run_shots_measure_reprepare] segment 41/80 steps 201-205 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 41/80 done in 2.3s p_success=0.9971 cumulative_norm=7.9353e+00
[_run_shots_measure_reprepare] segment 42/80 steps 206-210 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 42/80 done in 2.2s p_success=0.9971 cumulative_norm=7.9238e+00
[_run_shots_measure_reprepare] segment 43/80 steps 211-215 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 43/80 done in 2.2s p_success=0.9970 cumulative_norm=7.9121e+00
[_run_shots_measure_reprepare] segment 44/80 steps 216-220 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 44/80 done in 2.2s p_success=0.9970 cumulative_norm=7.9004e+00
[_run_shots_measure_reprepare] segment 45/80 steps 221-225 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 45/80 done in 2.3s p_success=0.9970 cumulative_norm=7.8884e+00
[_run_shots_measure_reprepare] segment 46/80 steps 226-230 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 46/80 done in 2.3s p_success=0.9970 cumulative_norm=7.8765e+00
[_run_shots_measure_reprepare] segment 47/80 steps 231-235 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 47/80 done in 2.3s p_success=0.9970 cumulative_norm=7.8646e+00
[_run_shots_measure_reprepare] segment 48/80 steps 236-240 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 48/80 done in 2.2s p_success=0.9970 cumulative_norm=7.8527e+00
[_run_shots_measure_reprepare] segment 49/80 steps 241-245 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 49/80 done in 2.2s p_success=0.9969 cumulative_norm=7.8407e+00
[_run_shots_measure_reprepare] segment 50/80 steps 246-250 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 50/80 done in 2.2s p_success=0.9970 cumulative_norm=7.8287e+00
[_run_shots_measure_reprepare] segment 51/80 steps 251-255 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 51/80 done in 2.2s p_success=0.9969 cumulative_norm=7.8166e+00
[_run_shots_measure_reprepare] segment 52/80 steps 256-260 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 52/80 done in 2.2s p_success=0.9969 cumulative_norm=7.8045e+00
[_run_shots_measure_reprepare] segment 53/80 steps 261-265 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 53/80 done in 2.2s p_success=0.9969 cumulative_norm=7.7924e+00
[_run_shots_measure_reprepare] segment 54/80 steps 266-270 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 54/80 done in 2.2s p_success=0.9969 cumulative_norm=7.7803e+00
[_run_shots_measure_reprepare] segment 55/80 steps 271-275 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 55/80 done in 2.3s p_success=0.9969 cumulative_norm=7.7682e+00
[_run_shots_measure_reprepare] segment 56/80 steps 276-280 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 56/80 done in 2.2s p_success=0.9969 cumulative_norm=7.7562e+00
[_run_shots_measure_reprepare] segment 57/80 steps 281-285 depth=1294 transpiling ...
[_run_shots_measure_reprepare] segment 57/80 done in 2.3s p_success=0.9969 cumulative_norm=7.7441e+00
